prognosis,DiseaseDescription
Fungal infection,"Tinea corporis or ringworm is a skin infection caused by a fungus that lives on dead tissues, such as the skin, hair, and nails. Ringworm is the fungus that causes both jock itch and athlete's foot. When it appears anywhere else on the body, the infection is just called ringworm"
Allergy,"Allergies, also known as allergic diseases, are a number of conditions caused by hypersensitivity of the immune system to typically harmless substances in the environment. These diseases include hay fever, foodallergies, atopic dermatitis, allergic asthma, and anaphylaxis."
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD"
Chronic cholestasis,"Cholestasis is defined as a decrease in bile flow due to impaired secretion by hepatocytes or to obstruction of bile flow through intra-or extrahepatic bile ducts. Therefore, the clinical definition of cholestasis is any condition in which substances normally excreted into bile are retained."
Drug Reaction,"Adverse reaction: In pharmacology, any unexpected or dangerous reaction to adrug. An unwanted effect caused by the administration of a drug. The onset of the adverse reaction may be sudden or develop over time. Also called an adverse drugevent (ADE), adverse drug reaction (ADR), adverse effect or adverse event."
Peptic ulcer disease,Peptic ulcer disease is a condition in which there are painful sores or ulcers in the lining of the stomach
AIDS,HIV causes AIDS and interferes with the body ability
Diabetes ,Diabetes mellitus refers to a group of diseases that affect how your body uses blood sugar (glucose). Glucose is vital to your health because it's an important source of energy for the cells that make up your muscles and tissues. It's also your brain's main source of fuel. The underlying cause of diabetes
Gastroenteritis,"With gastroenteritis, the main symptoms you probably have are watery diarrhea and vomiting. You might also have stomach pain, cramping, fever, nausea, and a headache. Because of diarrhea "
Bronchial Asthma,"Asthma – is a widespread disease. Currently, the number of patients continues to increase, despite an earlier diagnosis and modern approaches to treatment. In the world, there are more than 150 million people suffering from bronchial asthma life."
Hypertension ,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated.High blood pressure typically does not cause symptoms."
Migraine,"Migraine is a neurological condition that can cause multiple symptoms. It's frequently characterized by intense, debilitating headaches. Symptoms may include nausea, vomiting, difficulty speaking, numbness or tingling, and sensitivity to light and sound."
Cervical spondylosis,"It is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones "
Paralysis (brain hemorrhage),"It is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body."
Jaundice,"Jaundice is a condition in which the skin, whites of the eyes and mucous membranes turn yellow because of a high level of bilirubin, a yellow-orange bile pigment. Jaundice has many causes, including hepatitis, gallstones and tumors. In adults, jaundice usually doesn't need to be treated."
